Year,Name,Location,Country,Type,TOTAL_DEATHS
2010,Tungurahua,Ecuador,Ecuador,Stratovolcano,
2010,Eyjafjallajokull,Iceland-S,Iceland,Stratovolcano,2
2010,Pacaya,Guatemala,Guatemala,Complex volcano,1
2010,Sarigan,Mariana Is-C Pacific,United States,Stratovolcano,
2010,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano,4
2010,Sinabung,Sumatra,Indonesia,Stratovolcano,2
2010,Merapi,Java,Indonesia,Stratovolcano,367
2010,Tungurahua,Ecuador,Ecuador,Stratovolcano,
2010,Tengger Caldera,Java,Indonesia,Stratovolcano,
2011,Merapi,Java,Indonesia,Stratovolcano,1
2011,Kirishima,Kyushu-Japan,Japan,Shield volcano,
2011,Bulusan,Luzon-Philippines,Philippines,Stratovolcano,1
2011,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano,
2011,Tungurahua,Ecuador,Ecuador,Stratovolcano,
2011,Puyehue,Chile-C,Chile,Stratovolcano,
2011,Nabro,Africa-NE,Eritrea,Stratovolcano,31
2011,Katla,Iceland-S,Iceland,Subglacial volcano,
2011,Lokon-Empung,Sulawesi-Indonesia,Indonesia,Stratovolcano,1
2011,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,4
2012,Kilauea,Hawaiian Is,United States,Shield volcano,
2012,Kilauea,Hawaiian Is,United States,Shield volcano,
2012,Tolbachik,Kamchatka,Russia,Shield volcano,
2013,Merapi,Java,Indonesia,Stratovolcano,1
2013,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano,
2013,Mayon,Luzon-Philippines,Philippines,Stratovolcano,5
2013,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano,5
2013,Ubinas,Peru,Peru,Stratovolcano,
2013,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,
2013,Sinabung,Sumatra,Indonesia,Stratovolcano,
2013,Okataina,New Zealand,New Zealand,Lava dome,1
2014,Sinabung,Sumatra,Indonesia,Stratovolcano,17
2014,Kelut,Java,Indonesia,Stratovolcano,7
2014,On-take,Honshu-Japan,Japan,Complex volcano,55
2014,Kilauea,Hawaiian Is,United States,Shield volcano,
2014,Fogo,Cape Verde Is,Cape Verde,Stratovolcano,
2014,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,1
2015,Sinabung,Sumatra,Indonesia,Stratovolcano,
2015,Calbuco,Chile-S,Chile,Stratovolcano,
2015,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano,
2015,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,
2015,Sinabung,Sumatra,Indonesia,Stratovolcano,1
2015,Okataina,New Zealand,New Zealand,Lava dome,1
2016,Sinabung,Sumatra,Indonesia,Stratovolcano,1
2016,Sinabung,Sumatra,Indonesia,Stratovolcano,7
2016,Yellowstone,US-Wyoming,United States,Caldera,1
2016,Rinjani,Lesser Sunda Is,Indonesia,Stratovolcano,
2016,Aso,Kyushu-Japan,Japan,Caldera,
2017,Etna,Italy,Italy,Stratovolcano,
2017,Sinabung,Sumatra,Indonesia,Stratovolcano,
2017,Fuego,Guatemala,Guatemala,Stratovolcano,
2017,Dieng Volc Complex,Java,Indonesia,Complex volcano,8
2017,Campi Flegrei,Italy,Italy,Caldera,3
2017,Aoba,Vanuatu-SW Pacific,Vanuatu,Shield volcano,
2017,Merapi,Java,Indonesia,Stratovolcano,8
2017,Sinabung,Sumatra,Indonesia,Stratovolcano,
2018,Kadovar,New Guinea-NE of,Papua New Guinea,Stratovolcano,
2018,Mayon,Luzon-Philippines,Philippines,Stratovolcano,
2018,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano,1
2018,Kilauea,Hawaiian Is,United States,Shield volcano,1
2018,Kadovar,New Guinea-NE of,Papua New Guinea,Stratovolcano,
2018,Ijen,Java,Indonesia,Stratovolcano,
2018,Kilauea,Hawaiian Is,United States,Shield volcano,
2018,Aoba,Vanuatu-SW Pacific,Vanuatu,Shield volcano,4